key,en,ky,kz,tr,ru
sideBar_howToEbable,How to enable,Орнотуу ыкмасы,Күйгизу нұсқаулығы,Etkinleştirme yolu,Как включить
sideBar_testTheKeyboard,Test the keyboard,Жазып көрүү,Тексеру,Klavyeyi test et,Проверить клавиатуру
sideBar_basicInfo,Basic info,Негизги маалымат,Негізгі ақпарат,Temel bilgi,Базовая информация
sideBar_lessons,Lessons,Сабактар,Сабақтар,Dersler,Уроки
sideBar_checkYourself,Check yourself,Жазып машыгуу,Өзіңізді тексеріңіз,Kendini kontrol et,Самопроверка
sideBar_settings,Settings,Орнотуулар,Settings,Settings,Настройки
sideBar_support,Колдоо,Колдоо,Колдоо,Колдоо,Колдоо
