key,en,ky,kz,tr,ru
mb_change_1,Only one tamga is changed drastically,Тек бир тамга таанылгыс өзгөрдү,Тек бір тамға қатты өзгертілді,Yalnızca bir tamga köklü şekilde değiştirildi,Лишь одна тамга изменана сильно
mb_altayVariant,Altay variant,Алтай варианты,Алтай варианты,Altay varyantı,Алтайский вариант
mb_altayHardTamgas,Altay hard tamgas,Алтай катуу тамгалар,Алтай қатты тамғалары,Altay sert tamgaları,Алтайские твердные тамги
mb_altaySoftTamgas,Altay soft tamgas,Алтай жумшак тамгалар,Алтай жұмсақ тамғалары,Altay yumuşak tamgaları,Алтайские мягкие тамги
mb_orhonVariant,Orhon variant,Орхон варианты,Орхон варианты,Orhon varyantı,Орхонский вариант
mb_orhonHardTamgas,Orhon hard tamgas,Орхон катуу тамгалар,Орхон қатты тамғалары,Orhon sert tamgaları,Орхонские твердые тамги
mb_orhonSoftTamgas,Orhon soft tamgas,Орхон жумшак тамгалар,Орхон жұмсақ тамғалары,Orhon yumuşak tamgaları,Орхонские мягкие тамги
