key,en,ky,kz,tr,ru
hte_HowToEnable,"How to enable","Кантип орнотулат?",Күйгизу нұсқаулығы,Etkinleştirme yolu,Как включить
hte_ActivateShoktukKeyboard,"1. Activate the keyboard","1. Орнотууларды ачып, баскычтопту күйгүзүңүз",Тексеру,Klavyeyi test et,Проверить клавиатуру
hte_openKeyboardSettings,"Open keyboard settings","Орнотууларды ач",Тексеру,Klavyeyi test et,Проверить клавиатуру
hte_ChangeTheLanguage,"3. Change the language","2. Баскычтоп оодарыңыз",Негізгі ақпарат,Temel bilgi,Базовая информация
